Feature Name,Status,Categories,Firefox 100,Safari TP,Chrome 103
aac,other,Other,a #1,y,y
abortcontroller,ls,JS API,y,y,y
accelerometer,cr,JS API,n,n,y
addeventlistener,ls,DOM,y,y,y
ambient-light,cr,JS API,n d #1,n,n d #2
apng,unoff,PNG,y,y,y
array-find,other,JS,y,y,y
array-find-index,other,JS,y,y,y
array-flat,other,JS,y,y,y
array-includes,other,JS,y,y,y
arrow-functions,other,JS,y,y,y
asmjs,other,"JS,JS API,Other",y,n,a #1
async-clipboard,wd,JS API,a #1,y,y
async-functions,other,JS,y,y,y
atob-btoa,ls,JS API,y,y,y
audio,ls,HTML5,y,y,y
audio-api,rec,JS API,y,y,y
audiotracks,ls,HTML5,n d #1,y,n d #2
autofocus,ls,HTML5,y,y,y
auxclick,wd,"DOM,JS API",y #1,n,y
av1,other,Other,y,n,y
avif,other,Other,y #2,n,y
background-attachment,cr,CSS,y,n #5,y
background-clip-text,unoff,CSS,y,y,y x
background-img-opts,cr,CSS3,y,y,y
background-position-x-y,unoff,CSS,y,y,y
background-repeat-round-space,cr,CSS3,y,y,y
background-sync,unoff,JS API,u,n,y
battery-status,cr,JS API,n,n,y
beacon,wd,JS API,y,y,y
beforeafterprint,ls,"HTML5,JS API",y,y,y
bigint,other,JS,y,y,y
blobbuilder,wd,JS API,y,y,y
bloburls,wd,JS API,y,y,y
border-image,cr,CSS3,y,y #1,y
border-radius,cr,CSS3,y,y,y
broadcastchannel,ls,JS API,y,y,y
brotli,other,Other,y,y,y
calc,cr,CSS3,y,y,y
canvas,ls,"Canvas,HTML5",y,y,y
canvas-blending,cr,Canvas,y,y,y
canvas-text,ls,"Canvas,HTML5",y,y,y
ch-unit,cr,CSS3,y,y,y
chacha20-poly1305,other,Security,y,y,y
channel-messaging,ls,JS API,y,y,y
childnode-remove,ls,DOM,y,y,y
classlist,ls,"DOM,HTML5",y,y,y
client-hints-dpr-width-viewport,other,DOM,n,n,y
clipboard,wd,JS API,a #6,y,a #7
colr,other,Other,y,y,y #3
colr-v1,other,Other,n #2,n,y
comparedocumentposition,ls,DOM,y,y,y
console-basic,ls,JS API,y,y,y
console-time,ls,JS API,y,y,y
const,other,JS,y,y,y
constraint-validation,ls,JS API,y,y,y
contenteditable,ls,HTML5,y,y,y
contentsecuritypolicy,cr,Security,y,y,y
contentsecuritypolicy2,rec,Security,y,y,y
cookie-store-api,unoff,JS API,n,n,y
cors,ls,"JS API,Security",y,y #3,y
createimagebitmap,ls,JS API,a #4 #5,a #3,y
credential-management,wd,"JS API,Security",n,n,y
cryptography,rec,"JS API,Security",y,y,y
css-all,cr,CSS,y,y,y
css-animation,wd,CSS3,y,y,y
css-any-link,wd,CSS,y,y,y
css-appearance,wd,CSS,y,y,y
css-at-counter-style,cr,CSS3,a #1,n,a #1
css-backdrop-filter,unoff,"CSS,CSS3",n d #3,y x,y
css-background-offsets,cr,CSS3,y,y,y
css-backgroundblendmode,cr,CSS,y,y,y
css-boxdecorationbreak,wd,CSS3,y,a x #1,a x #1
css-boxshadow,cr,CSS3,y,y,y
css-canvas,unoff,CSS,n,y x,n
css-caret-color,cr,CSS,y,y,y
css-cascade-layers,wd,CSS,y,y,y
css-case-insensitive,wd,CSS,y,y,y
css-clip-path,cr,CSS3,y,a #2,a #2
css-color-adjust,wd,CSS,y,y x,y x
css-color-function,wd,CSS,n,y,n
css-conic-gradients,wd,CSS,y,y,y
css-container-queries,wd,CSS,n,y,n d #1
css-containment,rec,CSS,y,y,y
css-content-visibility,wd,CSS,n,n,y
css-counters,rec,CSS2,y,y,y
css-crisp-edges,unoff,"CSS,CSS3",y,y,y #4
css-cross-fade,cr,CSS,n,y,y x
css-default-pseudo,unoff,CSS,y,y,y
css-descendant-gtgt,unoff,CSS,n,n,n
css-deviceadaptation,wd,CSS,n,n,n d
css-dir-pseudo,wd,CSS,y,n,n d #1
css-display-contents,wd,CSS,y,a #2,y
css-element-function,wd,CSS3,y x,n,n
css-env-function,unoff,CSS,y,y,y
css-exclusions,wd,CSS,n,n,n
css-featurequeries,cr,CSS3,y,y,y
css-filter-function,wd,"CSS,CSS3",n,y,n
css-filters,wd,"CSS,CSS3",y,y,y
css-first-letter,rec,CSS,y,y,y
css-first-line,rec,CSS3,y,y,y
css-fixed,rec,CSS,y,y,y
css-focus-visible,unoff,CSS,y,y,y
css-focus-within,unoff,CSS,y,y,y
css-font-palette,wd,CSS,n,y,y
css-font-rendering-controls,wd,CSS,y,y,y
css-font-stretch,cr,CSS,y,y,y
css-gencontent,rec,"CSS2,CSS3",y,y,y
css-gradients,cr,CSS3,y,y,y
css-grid,cr,CSS,y,y,y
