name,mdn_url,firefox_version_added,firefox_flags,chrome_version_added,chrome_flags,safari_version_added,safari_flags,status_experimental,status_standard_track,status_deprecated,spec_url,org
api/ANGLE_instanced_arrays,,47,,32,,8,,false,true,false,https://registry.khronos.org/webgl/extensions/ANGLE_instanced_arrays/,UNKNOWN
api/ANGLE_instanced_arrays/drawArraysInstancedANGLE,,47,,30,,8,,false,true,false,https://registry.khronos.org/webgl/extensions/ANGLE_instanced_arrays/,UNKNOWN
api/ANGLE_instanced_arrays/drawElementsInstancedANGLE,,47,,30,,8,,false,true,false,https://registry.khronos.org/webgl/extensions/ANGLE_instanced_arrays/,UNKNOWN
api/ANGLE_instanced_arrays/vertexAttribDivisorANGLE,,47,,30,,8,,false,true,false,https://registry.khronos.org/webgl/extensions/ANGLE_instanced_arrays/,UNKNOWN
api/AbortController,,57,,66,,12.1,,false,true,false,https://dom.spec.whatwg.org/#interface-abortcontroller,WHATWG
api/AbortController/AbortController,,57,,66,,12.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortcontroller-abortcontroller①,WHATWG
api/AbortController/abort,,57,,66,,12.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortcontroller-abortcontroller①,WHATWG
api/AbortController/signal,,57,,66,,12.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortcontroller-signal②,WHATWG
api/AbortPaymentEvent,,,,70,,,,true,false,false,,NONE
api/AbortPaymentEvent/AbortPaymentEvent,,,,70,,,,true,false,false,,NONE
api/AbortPaymentEvent/respondWith,,,,70,,,,true,false,false,,NONE
api/AbortSignal,,57,,66,,11.1,,false,true,false,https://dom.spec.whatwg.org/#interface-AbortSignal,WHATWG
api/AbortSignal/abort,,88,,93,,15,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortsignal-abort①,WHATWG
api/AbortSignal/abort/reason_parameter,,97,,98,,15.4,,false,true,false,https://dom.spec.whatwg.org/#abortsignal-abort-reason,WHATWG
api/AbortSignal/abort_event,,57,,66,,11.1,,false,true,false,https://dom.spec.whatwg.org/#eventdef-abortsignal-abort,WHATWG
api/AbortSignal/aborted,,57,,66,,11.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortsignal-aborted①,WHATWG
api/AbortSignal/reason,,97,,98,,15.4,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortsignal-reason①,WHATWG
api/AbortSignal/throwIfAborted,,97,,100,,15.4,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortsignal-throwifaborted①,WHATWG
api/AbortSignal/timeout,,100,,103,,16,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-abortsignal-timeout①,WHATWG
api/AbsoluteOrientationSensor,,,,67,,,,false,true,false,https://w3c.github.io/orientation-sensor/#absoluteorientationsensor-interface,W3C
api/AbsoluteOrientationSensor/AbsoluteOrientationSensor,,,,67,,,,false,true,false,https://w3c.github.io/orientation-sensor/#dom-absoluteorientationsensor-absoluteorientationsensor,W3C
api/AbstractRange,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#interface-abstractrange,WHATWG
api/AbstractRange/collapsed,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-range-collapsed①,WHATWG
api/AbstractRange/endContainer,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-range-endcontainer①,WHATWG
api/AbstractRange/endOffset,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-range-endoffset①,WHATWG
api/AbstractRange/startContainer,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-range-startcontainer①,WHATWG
api/AbstractRange/startOffset,,69,,90,,14.1,,false,true,false,https://dom.spec.whatwg.org/#ref-for-dom-range-startoffset①,WHATWG
api/Accelerometer,,,,67,,,,true,true,false,https://w3c.github.io/accelerometer/#accelerometer-interface,W3C
api/Accelerometer/Accelerometer,,,,67,,,,true,true,false,https://w3c.github.io/accelerometer/#dom-accelerometer-accelerometer,W3C
api/Accelerometer/x,,,,67,,,,true,true,false,https://w3c.github.io/accelerometer/#accelerometer-x,W3C
api/Accelerometer/y,,,,67,,,,true,true,false,https://w3c.github.io/accelerometer/#accelerometer-y,W3C
api/Accelerometer/z,,,,67,,,,true,true,false,https://w3c.github.io/accelerometer/#accelerometer-z,W3C
api/AmbientLightSensor,,,,56,"[{""name"":""#enable-experimental-web-platform-features"",""type"":""preference"",""value_to_set"":""Enabled""}]",,,true,true,false,https://w3c.github.io/ambient-light/#ambient-light-sensor-interface,W3C
api/AmbientLightSensor/AmbientLightSensor,,,,56,"[{""name"":""#enable-experimental-web-platform-features"",""type"":""preference"",""value_to_set"":""Enabled""}]",,,true,true,false,https://w3c.github.io/ambient-light/#dom-ambientlightsensor-ambientlightsensor,W3C
api/AmbientLightSensor/illuminance,,,,56,"[{""name"":""#enable-experimental-web-platform-features"",""type"":""preference"",""value_to_set"":""Enabled""}]",,,true,true,false,https://w3c.github.io/ambient-light/#ambient-light-sensor-reading-attribute,W3C
api/AnalyserNode,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AnalyserNode,W3C
api/AnalyserNode/AnalyserNode,,53,,55,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-analysernode,W3C
api/AnalyserNode/fftSize,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-fftsize,W3C
api/AnalyserNode/frequencyBinCount,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-frequencybincount,W3C
api/AnalyserNode/getByteFrequencyData,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-getbytefrequencydata,W3C
api/AnalyserNode/getByteTimeDomainData,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-getbytetimedomaindata,W3C
api/AnalyserNode/getFloatFrequencyData,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-getfloatfrequencydata,W3C
api/AnalyserNode/getFloatTimeDomainData,,30,,35,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-getfloattimedomaindata,W3C
api/AnalyserNode/maxDecibels,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-maxdecibels,W3C
api/AnalyserNode/minDecibels,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-mindecibels,W3C
api/AnalyserNode/smoothingTimeConstant,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-analysernode-smoothingtimeconstant,W3C
api/Animation,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#the-animation-interface,W3C
api/Animation/Animation,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-animation,W3C
api/Animation/cancel,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-cancel,W3C
api/Animation/cancel_event,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-oncancel,W3C
api/Animation/commitStyles,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-commitstyles,W3C
api/Animation/currentTime,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-currenttime,W3C
api/Animation/effect,,63,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-effect,W3C
api/Animation/finish,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-finish,W3C
api/Animation/finish_event,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-onfinish,W3C
api/Animation/finished,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-finished,W3C
api/Animation/id,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-id,W3C
api/Animation/pause,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-pause,W3C
api/Animation/pending,,59,,76,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-pending,W3C
api/Animation/persist,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-persist,W3C
api/Animation/play,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-play,W3C
api/Animation/playState,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-playstate,W3C
api/Animation/playbackRate,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-playbackrate,W3C
api/Animation/ready,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-ready,W3C
api/Animation/remove_event,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-onremove,W3C
api/Animation/remove_filling_animation,,75,,84,,13.1,,false,true,false,,NONE
api/Animation/replaceState,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-replacestate,W3C
api/Animation/reverse,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-reverse,W3C
api/Animation/startTime,,48,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-starttime,W3C
api/Animation/timeline,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-timeline,W3C
api/Animation/updatePlaybackRate,,60,,76,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animation-updateplaybackrate,W3C
api/AnimationEffect,,63,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#the-animationeffect-interface,W3C
api/AnimationEffect/getComputedTiming,,63,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationeffect-getcomputedtiming,W3C
api/AnimationEffect/getTiming,,63,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationeffect-gettiming,W3C
api/AnimationEffect/updateTiming,,63,,75,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationeffect-updatetiming,W3C
api/AnimationEvent,,5,,43,,9,,false,true,false,https://drafts.csswg.org/css-animations/#interface-animationevent,W3C
api/AnimationEvent/AnimationEvent,,23,,43,,9,,false,true,false,https://drafts.csswg.org/css-animations/#dom-animationevent-animationevent,W3C
api/AnimationEvent/animationName,,5,,43,,9,,false,true,false,https://drafts.csswg.org/css-animations/#dom-animationevent-animationname,W3C
api/AnimationEvent/elapsedTime,,5,,43,,9,,false,true,false,https://drafts.csswg.org/css-animations/#dom-animationevent-elapsedtime,W3C
api/AnimationEvent/pseudoElement,,23,,68,,13.1,,false,true,false,https://drafts.csswg.org/css-animations/#dom-animationevent-pseudoelement,W3C
api/AnimationPlaybackEvent,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#the-animationplaybackevent-interface,W3C
api/AnimationPlaybackEvent/AnimationPlaybackEvent,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationplaybackevent-animationplaybackevent,W3C
api/AnimationPlaybackEvent/currentTime,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationplaybackevent-currenttime,W3C
api/AnimationPlaybackEvent/timelineTime,,63,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationplaybackevent-timelinetime,W3C
api/AnimationTimeline,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#the-animationtimeline-interface,W3C
api/AnimationTimeline/currentTime,,75,,84,,13.1,,false,true,false,https://drafts.csswg.org/web-animations-1/#dom-animationtimeline-currenttime,W3C
api/ApplicationCache,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/abort,,,,18,,6,,false,false,true,,NONE
api/ApplicationCache/cached_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/checking_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/downloading_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/error_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/noupdate_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/obsolete_event,,3.5,,5,,4,,false,false,true,,NONE
api/ApplicationCache/progress_event,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/status,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/swapCache,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/update,,3,,5,,4,,false,false,true,,NONE
api/ApplicationCache/updateready_event,,3,,5,,4,,false,false,true,,NONE
api/Attr,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#interface-attr,WHATWG
api/Attr/localName,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-localname,WHATWG
api/Attr/name,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-name,WHATWG
api/Attr/namespaceURI,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-namespaceuri,WHATWG
api/Attr/ownerElement,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-ownerelement,WHATWG
api/Attr/prefix,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-prefix,WHATWG
api/Attr/specified,,1,,1,,1,,false,true,true,https://dom.spec.whatwg.org/#dom-attr-specified,WHATWG
api/Attr/value,,1,,1,,1,,false,true,false,https://dom.spec.whatwg.org/#dom-attr-value,WHATWG
api/AudioBuffer,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#AudioBuffer,W3C
api/AudioBuffer/AudioBuffer,,53,,55,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-audiobuffer,W3C
api/AudioBuffer/copyFromChannel,,27,,43,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-copyfromchannel,W3C
api/AudioBuffer/copyToChannel,,27,,43,,14.1,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-copytochannel,W3C
api/AudioBuffer/duration,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-duration,W3C
api/AudioBuffer/getChannelData,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-getchanneldata,W3C
api/AudioBuffer/length,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-length,W3C
api/AudioBuffer/numberOfChannels,,25,,14,,6,,false,true,false,https://webaudio.github.io/web-audio-api/#dom-audiobuffer-numberofchannels,W3C
