id,closed,title,url,created_at,updated_at,user,labels,reactions
1484619120,true,Create LICENSE,https://github.com/w3ctag/design-reviews/pull/796,2022-12-08T13:14:52Z,2022-12-12T13:23:05Z,torgo,,0
1421908066,true,Typo fixes,https://github.com/w3ctag/design-reviews/pull/784,2022-10-25T06:02:42Z,2022-10-26T00:53:46Z,xfq,,0
1421902867,true,Typo fix,https://github.com/w3ctag/design-reviews/pull/783,2022-10-25T05:55:53Z,2022-10-26T00:53:38Z,xfq,,0
933836412,true,Add a link to public summary/results of user research to each of our issue templates,https://github.com/w3ctag/design-reviews/pull/653,2021-06-30T15:32:45Z,2021-11-08T02:36:41Z,hober,,0
804357756,true,"""API Design Principles"" to ""Web Platform Design Principles""",https://github.com/w3ctag/design-reviews/pull/607,2021-02-09T09:10:54Z,2021-02-10T06:52:12Z,LeaVerou,,0
604116737,true,Add a proper config,https://github.com/w3ctag/design-reviews/pull/508,2020-04-21T16:33:24Z,2020-04-21T16:33:56Z,plehegar,,0
575927017,true,Solicit additional information about standardization venue.,https://github.com/w3ctag/design-reviews/pull/480,2020-03-05T01:16:27Z,2020-03-05T02:45:33Z,dbaron,,0
533680020,true,Update issue templates,https://github.com/w3ctag/design-reviews/pull/447,2019-12-06T00:44:14Z,2021-02-10T06:52:35Z,alice,,0
447654624,true,"Require markdown for explainers, and some more",https://github.com/w3ctag/design-reviews/pull/381,2019-05-23T13:11:44Z,2022-04-06T10:05:29Z,cynthia,,0
430488614,true,fix GitHub capitalization,https://github.com/w3ctag/design-reviews/pull/364,2019-04-08T14:37:35Z,2019-04-08T17:05:45Z,coliff,,1
267400337,true,Editorial: change salutation,https://github.com/w3ctag/design-reviews/pull/209,2017-10-21T17:47:05Z,2017-11-07T17:13:28Z,annevk,,0
226133170,true,README: fix links with spaces to use encoded spaces,https://github.com/w3ctag/design-reviews/pull/175,2017-05-03T22:30:14Z,2017-05-04T14:16:43Z,odeke-em,,0
133892694,true,Add reviewed specs to readme (closes #102),https://github.com/w3ctag/design-reviews/pull/103,2016-02-16T05:54:08Z,2021-02-10T06:52:27Z,marcoscaceres,,0
98009765,true,Start File URI feedback,https://github.com/w3ctag/design-reviews/pull/65,2015-07-29T19:18:31Z,2021-02-10T06:52:26Z,diracdeltas,,0
74807862,true,Remove 'signal upgrade' section in upgrade-insecure review,https://github.com/w3ctag/design-reviews/pull/58,2015-05-10T02:12:09Z,2015-05-19T16:21:48Z,diracdeltas,,0
70531300,true,Strawman spec review for upgrade insecure requests,https://github.com/w3ctag/design-reviews/pull/54,2015-04-23T22:43:47Z,2015-05-10T02:13:45Z,diracdeltas,,0
69347222,true,permissions.md - remove extra quotes,https://github.com/w3ctag/design-reviews/pull/52,2015-04-18T21:02:09Z,2015-04-20T22:40:13Z,paulirish,,0
63077914,true,Update CSS Regions.md,https://github.com/w3ctag/design-reviews/pull/48,2015-03-19T19:56:25Z,2021-02-10T06:52:25Z,slightlyoff,,0
62182027,true,Fixed typos,https://github.com/w3ctag/design-reviews/pull/46,2015-03-16T19:13:56Z,2021-02-10T06:52:23Z,marcoscaceres,,0
58755809,true,CSS Regions Review Draft,https://github.com/w3ctag/design-reviews/pull/44,2015-02-24T15:38:01Z,2015-03-17T16:53:53Z,twirl,,0
53688571,true,Update Web Animations.md,https://github.com/w3ctag/design-reviews/pull/39,2015-01-07T22:07:14Z,2015-01-10T08:51:09Z,jlukic,,0
34053210,true,Add request for a finished promise in web animations.,https://github.com/w3ctag/design-reviews/pull/29,2014-05-22T05:53:56Z,2014-09-30T16:45:58Z,domenic,,0
31902022,true,Web Animation Review Draft,https://github.com/w3ctag/design-reviews/pull/27,2014-04-21T15:32:45Z,2014-06-15T16:06:41Z,twirl,,0
27771422,true,Initial draft of a quota management API review.,https://github.com/w3ctag/design-reviews/pull/25,2014-02-18T05:57:15Z,2014-06-20T22:14:18Z,domenic,,0
18572320,true,Orientation auto,https://github.com/w3ctag/design-reviews/pull/12,2013-08-26T20:44:32Z,2014-06-18T12:01:24Z,marcoscaceres,,0
17229016,true,Remove redundant suggestions,https://github.com/w3ctag/design-reviews/pull/11,2013-07-25T19:01:42Z,2014-07-05T06:02:07Z,domenic,,0
17191128,true,Typo fix: use `ctx` in both places within the example.,https://github.com/w3ctag/design-reviews/pull/10,2013-07-25T02:17:32Z,2014-07-05T06:02:11Z,domenic,,0
17191090,true,Fix constructor params usage,https://github.com/w3ctag/design-reviews/pull/9,2013-07-25T02:16:01Z,2014-06-29T08:54:11Z,domenic,,0
