name,status,category,type
CSS Cascade Layers,Supported,,feature
CSS Container Queries,In Development,,feature
CSS Subgrid,In Development,,feature
CSS viewport-relative units,Supported,,feature
CSS Selector :any-link,Supported,,feature
CSS Selector :focus-visible,Supported,,feature
CSS Selector :focus-within,Supported,,feature
CSS Selector :has(),Supported,,feature
CSS Selector :is(),Supported,,feature
CSS Selector :lang() level 4,Supported,,feature
CSS Selector :matches(),Supported,,feature
CSS Selector :not() level 4,Supported,,feature
CSS Selector :nth-child(An+B of selector list) and :nth-last-child(An+B of selector list),Supported,,feature
CSS Selector :placeholder-shown,Supported,,feature
Case-insensitive attribute selectors,Supported,,feature
Conic Gradients,Supported,,feature
Cross-Origin Resource Policy,Supported,,feature
Custom Elements,Supported,,feature
Datalist Element,Supported,html,feature
Date and Time Input Types,Partially Supported,html,feature
Dialog Element,Supported,html,feature
Download Attribute,Supported,html,feature
Element.closest(),Supported,,feature
Filter Effects backdrop-filter property,Supported,,feature
Font Palettes,In Development,,feature
Force Click Events,Supported,,feature
HTML Interactive Form Validation,Supported,,feature
HTML imports,Not Considering,,feature
HTTP Cache Partitioning,Supported,privacy,feature
ImageBitmap,In Development,,feature
Imperative Slot API,Supported,webapps,feature
Initial Letter,Supported,,feature
Input modalities (inputmode attribute),Supported,,feature
"Interaction Media Features (pointer, hover, any-pointer, any-hover)",Supported,,feature
MicroData,Removed,,feature
Model element,In Development,html,feature
Offscreen Canvas,In Development,,feature
Picture element,Supported,html,feature
Position: sticky,Supported,,feature
Readable Streams,Supported,,feature
Shadow DOM,Supported,,feature
Shared Web Workers,In Development,,feature
Srcset w descriptor and related sizes attribute,Supported,,feature
Srcset x descriptor,Supported,,feature
Strict Mixed Content Checking,Supported,webapps,feature
Subresource Integrity,Supported,,feature
Template Element,Supported,,feature
Upgrade Insecure Requests,Supported,webapps,feature
Variation Fonts,Supported,,feature
Web Bluetooth Scanning,Not Considering,,feature
inert attribute,In Development,,feature
requestIdleCallback,Under Consideration,,feature
requestVideoFrameCallback,In Development,,feature
Application Cache,Deprecated,webapps,specification
Async Clipboard API,Supported,webapps,specification
Battery Status API,Not Considering,webapps,specification
Beacon API,Supported,webapps,specification
Broadcast Channel API,Supported,html,specification
CSS Animation Worklet API,Under Consideration,css,specification
CSS Aspect ratio property,Supported,css,specification
CSS Cascading and Inheritance Level 5,Supported,css,specification
CSS Color Level 4,Supported,css,specification
CSS Containment Level 1,Supported,css,specification
CSS Custom Highlight API Module Level 1,In Development,css,specification
CSS Font Display,Supported,css,specification
CSS Fonts Level 4,Partially Supported,css,specification
CSS Grid Layout Level 1,Supported,css,specification
CSS Image Values and Replaced Content Module Level 4,,css,specification
